"{""SYSNAME"",""IP_ADDRESS"",""ASSET_ID"",""EQUIP_TYPE"",""ASSET_ELECTRONIC_ADDRESS"",""ASSET_GEOG_ADDRESS"",""MOTORWAY_REF"",""RCC_AREA_ABBR"",""TS_A"",""TS_B"",""CAB"",""ASSET_STATUS_DESC"",""SERVICE_TYPE_ID"",""SDP_LOCATION"",""TPR_LOCATION"",""TYPE_ABBR"",""ASSET_BARCODE_NO"",""CATEGORY_ABBR"",""VARIANT_ABBR""},"""
"{""M06SASD188-8A-01M1DW01-150"",""10.50.67.101"",""515736"",""CO/Shelf/7210_SASD_Subrack"","""",""5888A"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-188-8A"",""In Service"",""10C2D,8RH"","""","""",""Shelf"","""",""CO"",""7210_SAS-D_Subrack""},"""
"{""M06SASD189-4B-01M1DW01-100"",""10.50.67.102"",""515735"",""CO/Shelf/7210_SASD_Subrack"","""",""5894B"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-4B"",""In Service"",""10C2,10C2D,10CO1,10CO2,10CO2D,8RC2,8RCO1,8RCO2,8RCO2D,8RDH,8RH"","""","""",""Shelf"","""",""CO"",""7210_SAS-D_Subrack""},"""
"{""M06SASD189-9A-01M1DW01-050"",""10.50.67.103"",""515734"",""CO/Shelf/7210_SASD_Subrack"","""",""5899A"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-9A"",""In Service"",""10C2,10C2D,10CO1,10CO2,10CO2D,8RC2,8RCO1,8RCO2,8RCO2D,8RDH,8RH"","""","""",""Shelf"","""",""CO"",""7210_SAS-D_Subrack""},"""
"{""M06SASM188-2B-01M1"",""10.50.66.101"",""515730"",""CO/Shelf/7210_SASM_Subrack"","""",""5882B"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-188-2B"",""In Service"",""10C2,10C2D,10CO1,10CO2,10CO2D,8RC2,8RCO1,8RCO2,8RCO2D,8RDH,8RH"","""","""",""Shelf"","""",""CO"",""7210_SAS-M_Subrack""},"""
"{""M06SASM189-2B-01M1"",""10.50.66.102"",""515729"",""CO/Shelf/7210_SASM_Subrack"","""",""5892B"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-2B"",""In Service"",""10C2,10C2D,10CO1,10CO2,10CO2D,8RC2,8RCO1,8RCO2,8RCO2D,8RDH,8RH"","""","""",""Shelf"","""",""CO"",""7210_SAS-M_Subrack""},"""
"{""M06SASM189-8B-01M1"",""10.50.66.103"",""515728"",""CO/Shelf/7210_SASM_Subrack"","""",""5898B"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMlite-M6-189-8B"",""In Service"",""10C2,10C2D,10CO1,10CO2,10CO2D,8RC2,8RCO1,8RCO2,8RCO2D,8RDH,8RH"","""","""",""Shelf"","""",""CO"",""7210_SAS-M_Subrack""},"""
"{""M06SASM190-2A-01M1"",""10.50.66.104"",""515727"",""CO/Shelf/7210_SASM_Subrack"","""",""5902A"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-190-2A"",""In Service"",""10C2,10C2D,10CO1,10CO2,10CO2D,8RC2,8RCO1,8RCO2,8RCO2D,8RDH,8RH"","""","""",""Shelf"","""",""CO"",""7210_SAS-M_Subrack""},"""
"{""M06SOLO189-4B-01M1DW01L06-01"",""10.50.68.101"",""515737"",""VI/Shelf/Solo_S_DO_Subrack"","""",""5894B"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-4B"",""In Service"",""10CO2D,8RCO2D"","""","""",""Shelf"","""",""VI"",""Solo_S_DO_Subrack""},"""
"{""M06SOLO189-5A-01M1DW01L06-01"",""10.50.68.102"",""515739"",""VI/Shelf/Solo_S_DO_Subrack"","""",""5895A"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-5A"",""In Service"",""10CO2D,8RCO2D"","""","""",""Shelf"","""",""VI"",""Solo_S_DO_Subrack""},"""
"{""M06SOLO189-6A-01M1DW01L06-01"",""10.50.68.103"",""515741"",""VI/Shelf/Solo_S_Subrack"","""",""5896A"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-6A"",""In Service"",""10C2D"","""","""",""Shelf"","""",""VI"",""Solo_S_Subrack""},"""
"{""M06SOLO189-7B-01M1DW01L06-01"",""10.50.68.106"",""515747"",""VI/Shelf/Solo_S_Subrack"","""",""5897B"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-7B"",""In Service"",""10C2,8RC2"","""","""",""Shelf"","""",""VI"",""Solo_S_Subrack""},"""
"{""M06SOLO189-8A-01M1DW01L06-01"",""10.50.68.104"",""515743"",""VI/Shelf/Solo_S_DO_Subrack"","""",""5898A"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-8A"",""In Service"",""10CO1,10CO2,8RCO1,8RCO2"","""","""",""Shelf"","""",""VI"",""Solo_S_DO_Subrack""},"""
"{""M06SOLO189-9B-01M1DW01L06-01"",""10.50.68.105"",""515745"",""VI/Shelf/Solo_S_SO_Subrack"","""",""5899B"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-189-9B"",""In Service"",""10CO1,8RCO1"","""","""",""Shelf"","""",""VI"",""Solo_S_SO_Subrack""},"""
"{""M06SOLO190-1B-01M1DW01L06-01"",""10.50.68.107"",""515766"",""VI/Shelf/Solo_S_SO_Subrack"","""",""5901B"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-190-1B"",""In Service"","""","""","""",""Shelf"","""",""VI"",""Solo_S_SO_Subrack""},"""
"{""M06SOLO190-8A-01M1DW01L06-01"",""10.50.68.108"",""515765"",""VI/Shelf/Solo_S_Subrack"","""",""5908A"",""M6"",""WMRCC"",""MAJ1"",""WELY"",""MMLite-M6-190-8A"",""In Service"",""10C2D"","""","""",""Shelf"","""",""VI"",""Solo_S_Subrack""},"""
"{""ED1/5898K"","""",""515748"","""",""ED1"",""5898K"",""M6"","""","""",""WELY"","""",""In Service"",""8RDH"","""","""",""EDGEN"","""",""EDV"",""FOG""},"""
"{""ED10-HSM/5898K"","""",""515756"","""",""ED10-HSM"",""5898K"",""M6"","""","""",""WELY"","""",""In Service"",""10CO2,8RCO2"","""","""",""EDGEN"","""",""EDV"",""HSM""},"""
"{""ED11-HSM/5899K"","""",""515757"","""",""ED11-HSM"",""5899K"",""M6"","""","""",""WELY"","""",""In Service"",""10CO1,8RCO1"","""","""",""EDGEN"","""",""EDV"",""HSM""},"""
"{""ED12/5882K"","""",""515749"","""",""ED12"",""5882K"",""M6"","""","""",""WELY"","""",""In Service"",""8RH"","""","""",""EDGEN"","""",""EDV"",""FOG""},"""
"{""ED13-CCTV/5908K"","""",""515767"","""",""ED13-CCTV"",""5908K"",""M6"","""","""",""WELY"","""",""In Service"",""10C2D"","""","""",""EDGEN"","""",""EDV"",""CAMGEN""},"""
"{""ED4/5894K"","""",""515750"","""",""ED4"",""5894K"",""M6"","""","""",""WELY"","""",""In Service"",""8RDH"","""","""",""EDGEN"","""",""EDV"",""FOG""},"""
"{""ED5/5888K"","""",""515751"","""",""ED5"",""5888K"",""M6"","""","""",""WELY"","""",""In Service"",""8RH"","""","""",""EDGEN"","""",""EDV"",""FOG""},"""
"{""ED6-CCTV/5894K"","""",""515752"","""",""ED6-CCTV"",""5894K"",""M6"","""","""",""WELY"","""",""In Service"",""10CO2D,8RCO2D"","""","""",""EDGEN"","""",""EDV"",""CAMGEN""},"""
"{""ED7-HSM/5895K"","""",""515753"","""",""ED7-HSM"",""5895K"",""M6"","""","""",""WELY"","""",""In Service"",""10CO2D,8RCO2D"","""","""",""EDGEN"","""",""EDV"",""HSM""},"""
"{""ED8-HSM/5896K"","""",""515754"","""",""ED8-HSM"",""5896K"",""M6"","""","""",""WELY"","""",""In Service"",""10C2D"","""","""",""EDGEN"","""",""EDV"",""HSM""},"""
"{""ED9-HSM/5897K"","""",""515755"","""",""ED9-HSM"",""5897K"",""M6"","""","""",""WELY"","""",""In Service"",""10C2,8RC2"","""","""",""EDGEN"","""",""EDV"",""HSM""},"""
